Date,Open,High,Low,Close,Volume,Turnover
02-Apr-18,10151.65,10220.1,10127.75,10211.8,223135459,10968.95
03-Apr-18,10186.85,10255.35,10171.05,10245,211652029,10167.12
04-Apr-18,10274.6,10279.85,10111.3,10128.4,238182921,11861.79
05-Apr-18,10228.45,10331.8,10227.45,10325.15,244116235,11674.92
06-Apr-18,10322.75,10350.45,10290.85,10331.6,206355691,10131.74
09-Apr-18,10333.7,10397.7,10328.5,10379.35,228512954,10714.13
10-Apr-18,10412.9,10424.85,10381.5,10402.25,259523888,11905.12
11-Apr-18,10428.15,10428.15,10355.6,10417.15,258077363,11790.58
12-Apr-18,10410.65,10469.9,10395.25,10458.65,246027888,12249.66
13-Apr-18,10495.3,10519.9,10451.45,10480.6,219724716,12354.55
16-Apr-18,10398.3,10540.15,10396.35,10528.35,200950876,11242.05
17-Apr-18,10557.3,10560.45,10495.65,10548.7,212449535,10501.71
18-Apr-18,10578.9,10594.2,10509.7,10526.2,211823044,9888.65
19-Apr-18,10563.65,10572.2,10546.2,10565.3,270740891,12559.11
20-Apr-18,10560.35,10582.35,10527.45,10564.05,252227268,15372.66
23-Apr-18,10592.8,10638.35,10514.95,10584.7,200203196,13642.67
24-Apr-18,10578.1,10636.8,10569,10614.35,225972673,12281.53
25-Apr-18,10612.4,10612.6,10536.45,10570.55,195129613,11125.11
26-Apr-18,10586.5,10628.4,10559.65,10617.8,345536167,19200.41
27-Apr-18,10651.65,10719.8,10647.55,10692.3,306671172,16886.89
30-Apr-18,10705.75,10759,10704.6,10739.35,179163468,10412.57
02-May-18,10783.85,10784.65,10689.8,10718.05,236757172,14820.58
03-May-18,10720.15,10720.6,10647.45,10679.65,190869804,11018.21
04-May-18,10700.45,10700.45,10601.6,10618.25,192296041,9721.56
07-May-18,10653.15,10725.65,10635.65,10715.5,173620240,9239.44
08-May-18,10757.9,10758.55,10689.4,10717.8,278118616,12783.49
09-May-18,10693.35,10766.25,10689.85,10741.7,222115640,10390.92
10-May-18,10779.65,10785.55,10705,10716.55,197988475,10526.38
11-May-18,10741.95,10812.05,10724.45,10806.5,209392114,10432.43
14-May-18,10815.15,10834.85,10774.75,10806.6,176697512,9075.44
15-May-18,10812.6,10929.2,10781.4,10801.85,262202312,13582.7
16-May-18,10751.95,10790.45,10699.7,10741.1,238221884,11359.48
17-May-18,10775.6,10777.25,10664.5,10682.7,220738923,12506.3
18-May-18,10671.85,10674.95,10589.1,10596.4,229908939,13908.47
21-May-18,10616.7,10621.7,10505.8,10516.7,197294184,11346.13
22-May-18,10518.45,10558.6,10490.55,10536.7,249236637,12017.36
23-May-18,10521.1,10533.55,10417.8,10430.35,299919120,13456.6
24-May-18,10464.85,10535.15,10419.8,10513.85,306792497,12914.16
25-May-18,10533.05,10628.05,10524,10605.15,268914888,12431.16
28-May-18,10648.35,10709.8,10640.55,10688.65,239786001,11764.35
29-May-18,10689.4,10717.25,10616.1,10633.3,232761575,11817.39
30-May-18,10579,10648.7,10558.45,10614.35,246124259,12224.76
31-May-18,10670.1,10763.8,10620.4,10736.15,629198569,29479.77
01-Jun-18,10738.45,10764.75,10681.5,10696.2,227355567,12965.01
04-Jun-18,10765.95,10770.3,10618.35,10628.5,210148313,14120.49
05-Jun-18,10630.7,10633.15,10550.9,10593.15,172898027,10027.54
06-Jun-18,10603.45,10698.35,10587.5,10684.65,195761429,9920.75
07-Jun-18,10722.6,10818,10722.6,10768.35,227663151,11315.24
