"Date","Open","High","Low","Close","Shares Traded","Turnover (Rs. Cr)"
"01-Oct-2020","    11364.45","    11428.60","    11347.05","    11416.95","      447740006","        26212.72"
"05-Oct-2020","    11487.80","    11578.05","    11452.30","    11503.35","      530597393","        31341.55"
"06-Oct-2020","    11603.45","    11680.30","    11564.30","    11662.40","      561444728","        30373.65"
"07-Oct-2020","    11679.25","    11763.05","    11629.35","    11738.85","      513367516","        32935.98"
"08-Oct-2020","    11835.40","    11905.70","    11791.15","    11834.60","      608768573","        38677.49"
"09-Oct-2020","    11852.05","    11938.60","    11805.20","    11914.20","      611079482","        34546.80"
"12-Oct-2020","    11973.55","    12022.05","    11867.20","    11930.95","      522627571","        26586.47"
"13-Oct-2020","    11934.65","    11988.20","    11888.90","    11934.50","      458304851","        29403.22"
"14-Oct-2020","    11917.40","    11997.20","    11822.15","    11971.05","      569245407","        29940.62"
"15-Oct-2020","    12023.45","    12025.45","    11661.30","    11680.35","      608865041","        35175.92"
"16-Oct-2020","    11727.40","    11789.75","    11667.85","    11762.45","      555764762","        30439.19"
"19-Oct-2020","    11879.20","    11898.25","    11820.40","    11873.05","      541420990","        29888.60"
"20-Oct-2020","    11861.00","    11949.25","    11837.25","    11896.80","      453560934","        28367.34"
"21-Oct-2020","    11958.55","    12018.65","    11775.75","    11937.65","      623658140","        37477.13"
"22-Oct-2020","    11890.00","    11939.55","    11823.45","    11896.45","      544901152","        33013.17"
"23-Oct-2020","    11957.90","    11974.55","    11908.75","    11930.35","      502340361","        27424.61"
"26-Oct-2020","    11937.40","    11942.85","    11711.70","    11767.75","      519815905","        29316.02"
"27-Oct-2020","    11807.10","    11899.05","    11723.00","    11889.40","      616318543","        37989.97"
"28-Oct-2020","    11922.60","    11929.40","    11684.85","    11729.60","      704018608","        37025.89"
"29-Oct-2020","    11633.30","    11744.15","    11606.45","    11670.80","      554959844","        30436.62"
"30-Oct-2020","    11678.45","    11748.95","    11535.45","    11642.40","      553672805","        28151.58"
"02-Nov-2020","    11697.35","    11725.65","    11557.40","    11669.15","      568434165","        35714.57"
"03-Nov-2020","    11734.45","    11836.20","    11723.30","    11813.50","      674303605","        36363.95"
"04-Nov-2020","    11783.35","    11929.65","    11756.40","    11908.50","      667290347","        38552.09"
"05-Nov-2020","    12062.40","    12131.10","    12027.60","    12120.30","      632455414","        32311.46"
"06-Nov-2020","    12156.65","    12280.40","    12131.85","    12263.55","      576837602","        34965.94"
"09-Nov-2020","    12399.40","    12474.05","    12367.35","    12461.05","      553449924","        34255.11"
"10-Nov-2020","    12556.40","    12643.90","    12475.25","    12631.10","      847450692","        51247.01"
"11-Nov-2020","    12680.60","    12769.75","    12571.10","    12749.15","      880475468","        54744.55"
"12-Nov-2020","    12702.15","    12741.15","    12624.85","    12690.80","      622017762","        36794.24"
"13-Nov-2020","    12659.70","    12735.95","    12607.70","    12719.95","      513948665","        34568.65"
"14-Nov-2020","    12823.35","    12828.70","    12749.45","    12780.25","      107868139","         5189.38"
"17-Nov-2020","    12932.50","    12934.05","    12797.10","    12874.20","      707676873","        40977.03"
"18-Nov-2020","    12860.10","    12948.85","    12819.35","    12938.25","      731321438","        39856.45"
"19-Nov-2020","    12839.50","    12963.00","    12745.75","    12771.70","      768751782","        44747.08"
"20-Nov-2020","    12813.40","    12892.45","    12730.25","    12859.05","      663997267","        42992.15"
"23-Nov-2020","    12960.30","    12968.85","    12825.70","    12926.45","      633117401","        42031.38"
"24-Nov-2020","    13002.60","    13079.10","    12978.00","    13055.15","      571864976","        37094.23"
"25-Nov-2020","    13130.00","    13145.85","    12833.65","    12858.40","      679005507","        37401.36"
"26-Nov-2020","    12906.45","    13018.00","    12790.40","    12987.00","      549798925","        34624.15"
"27-Nov-2020","    13012.05","    13035.30","    12914.30","    12968.95","     1162360673","        78522.93"
"01-Dec-2020","    13062.20","    13128.40","    12962.80","    13109.05","      583633902","        32917.26"
"02-Dec-2020","    13121.40","    13128.50","    12983.55","    13113.75","      717711761","        34008.74"
"03-Dec-2020","    13215.30","    13216.60","    13107.90","    13133.90","      713688035","        39627.71"
"04-Dec-2020","    13177.40","    13280.05","    13152.85","    13258.55","      640514315","        36428.05"
"07-Dec-2020","    13264.85","    13366.65","    13241.95","    13355.75","      591722966","        33578.64"
"08-Dec-2020","    13393.85","    13435.45","    13311.05","    13392.95","      543165361","        33755.81"
"09-Dec-2020","    13458.10","    13548.90","    13449.60","    13529.10","      502605319","        28726.97"
"10-Dec-2020","    13488.50","    13503.55","    13399.30","    13478.30","      553402501","        30400.20"
"11-Dec-2020","    13512.30","    13579.35","    13402.85","    13513.85","      787707481","        33696.57"
"14-Dec-2020","    13571.45","    13597.50","    13472.45","    13558.15","      558390043","        28133.58"
"15-Dec-2020","    13547.20","    13589.65","    13447.05","    13567.85","      497600393","        30828.33"
"16-Dec-2020","    13663.10","    13692.35","    13606.45","    13682.70","      462151091","        27460.18"
"17-Dec-2020","    13713.55","    13773.25","    13673.55","    13740.70","      416008520","        27712.93"
"18-Dec-2020","    13764.40","    13772.85","    13658.60","    13760.55","      519393189","        34803.30"
"21-Dec-2020","    13741.90","    13777.50","    13131.45","    13328.40","      687255400","        38243.62"
"22-Dec-2020","    13373.65","    13492.05","    13192.90","    13466.30","      696197300","        36328.33"
"23-Dec-2020","    13473.50","    13619.45","    13432.20","    13601.10","      458651819","        27073.45"
"24-Dec-2020","    13672.15","    13771.75","    13626.90","    13749.25","      471367730","        24764.35"
"28-Dec-2020","    13815.15","    13885.30","    13811.55","    13873.20","      403634030","        20923.06"
"29-Dec-2020","    13910.35","    13967.60","    13859.90","    13932.60","      439593961","        25154.23"
"30-Dec-2020","    13980.90","    13997.00","    13864.95","    13981.95","      380681073","        24633.12"
"31-Dec-2020","    13970.00","    14024.85","    13936.45","    13981.75","      452410109","        26305.82"
